gesellschaft_id,gesellschaft_name,standort,branche
1,Schwital Etzold KG,Strausberg,Umweltschutz
2,Adolph Spieß AG & Co. KGaA,Wolfenbüttel,Arbeitsmedizin
3,Wende GmbH & Co. KG,Teterow,Umweltschutz
4,Etzold Vogt OHG mbH,Illertissen,Umweltschutz
5,Löffler Jopich AG & Co. KGaA,Dieburg,Arbeitsmedizin
6,Losekann Schaaf AG & Co. KGaA,Beilngries,Arbeitsmedizin
7,Schlosser GmbH & Co. KG,Scheinfeld,Umweltschutz
8,Schmidt,Merseburg,Arbeitssicherheit
9,Mohaupt GmbH,Donaueschingen,Umweltschutz
10,Schacht Seidel Stiftung & Co. KG,Iserlohn,Umweltschutz
11,Junken,Günzburg,Umweltschutz
12,Mielcarek Martin Stiftung & Co. KG,Jüterbog,Umweltschutz
13,Krause Schottin AG,Burg,Arbeitsmedizin
14,Werner Seifert GmbH,Forst,Umweltschutz
15,Wende Ullmann GbR,Burg,Arbeitssicherheit
16,Reising,Rothenburg ob der Tauber,Arbeitsmedizin
17,Seidel KG,Fürstenfeldbruck,Arbeitssicherheit
18,Heintze Karge e.G.,Sebnitz,Arbeitssicherheit
19,Graf Langern AG & Co. OHG,Neu-Ulm,Arbeitssicherheit
20,Ernst KG,Strausberg,Arbeitssicherheit
